sugestao_acao_capacitacao;curso_ofertado;forma_atendimento;mes
Power BI intermediário;Construção de Aplicação de Planejamento e Gestão com uso do Power BI - Módulo II;PFC;Junho
Power BI básico;Modelando Dados no Power BI;Curadoria;Março
Power BI básico;Construção de Aplicação de Planejamento e Gestão com uso do Power BI;PFC;Maio
Nova Lei de Licitações;Nova lei de licitações: Visão Geral;Curadoria;Março
Avaliação de Políticas Públicas;Avaliação Ex-Post de Políticas Públicas;Curadoria;Março
Métodos ágeis de gerenciamento de projetos;Introdução às Metodologias Ágeis;PFC;Junho
Liderança para inovação;Liderança para Inovação;PFC;Março
Receita orçamentária;;;
Gestão da mudança;;;
Inteligência Artificial;Inteligência Artificial e o Novo Contexto da Cultura Digital;Curadoria;Fevereiro
Liderança;Liderança estratégica;Curadoria;Janeiro
Liderança;Liderança e Motivação;Curadoria;Janeiro
Liderança;Liderança como Essência da Gestão;Curadoria;Maio
Liderança;Mulheres na liderança: potencialize suas habilidades e impulsione a mudança;Curadoria;Abril
Desenvolvimento de equipes;Desenvolvimento de Equipes;Curadoria;Fevereiro
Desenvolvimento de equipes;A arte de desenvolver equipes de alta performance;Curadoria;Maio
ElasticSearch;Uso do Elasticsearch na inteligência estratégica de dados;PFC;Janeiro
ElasticSearch;Uso do Elasticsearch na Inteligência Estratégica de Dados;PFC;Abril
Gestão da Inovação aplicada ao setor público;Gestão da Inovação no Setor Público;Curadoria;Fevereiro
Análise de Dados em Linguagem R;Análise de Dados em Linguagem R;Curadoria;Março
Governança e Compliance;Governança, Compliance e Integridade na Administração Pública: novidades, desafios e tendências.;Curadoria;Abril
Lei de Responsabilidade Fiscal (LRF) e Novo Regime Fiscal (NRF);Lei de Responsabilidade Fiscal (LRF) e Novo Regime Fiscal (NRF);Curadoria;Março
Oratória;;;
Construção de indicadores;Modelagem de indicadores;Curadoria;Janeiro
Cultura Organizacional Ágil;Cultura Organizacional Ágil Aplicada ao Contexto Público;Curadoria;Março
Inteligência Emocional;Inteligência Emocional;Curadoria;Março
Python;Linguagem de Programação Python - Básico;Curadoria;Fevereiro
Excel avançado;;;
Transformação digital;Fundamentos da transformação digital: mapeamento e automação de processos;Curadoria;Maio
Língua inglesa;Inglês 1;Curadoria;Maio
UI Design;;;
Gerenciamento de riscos;Gerenciamento de riscos em 7 passos: aspectos práticos;Curadoria;Março
Gerenciamento de riscos;Introdução à Gestão de Riscos;Curadoria;Maio
Equidade de raça e gênero;;;
Gerenciamento de projetos - MS Project;Gestão de projetos;Curadoria;Junho
Governança de Dados;Governança de Dados na Transformação Digital;Curadoria;Fevereiro
Looker Studio;;;
Criatividade e inovação;Oficina de Criatividade e Inovação;PFC;Abril
Criatividade e inovação;Oficina Mentalidade Criativa;PFC;Abril
Criatividade e inovação;Compartilha Seplag - Edição Criatividade e Inteligência Artificial;PFC;Abril
Criatividade e inovação;Criatividade e Inovação Aplicada ao Serviço Público;Curadoria;Abril
Criatividade e inovação;Criatividade e Novas Tecnologias para facilitar o seu dia a dia no trabalho;Curadoria;Abril
Criatividade e inovação;Inovação e criatividade;Curadoria;Abril
Mapeamento de processo;;;
Comunicação não violenta;Comunicação não violenta;Curadoria;Março
UX: Experiência do Usuário;;;
Linguagem Simples;Primeiros passos para uso de Linguagem Simples;Curadoria;Março
Power BI avançado;;;
Gestão de convênios;Gestão de Convênios;Curadoria;Março
Gestão de convênios;Gestão de Convênios para Concedentes;Curadoria;Maio
Gestão de convênios;Convênios - Turma 2024A;Curadoria;Junho
Análise e melhoria de processos;Análise e Melhoria de Processos;Curadoria;Abril
Análise e melhoria de processos;Gestão de Processos;Curadoria;Junho
